time,adj_wind_speed_starboard,adj_wind_speed_port
2024-06-10 00:00:00,7.186400126681703,7.234733460015037
2024-06-10 01:00:00,6.955703192101088,7.3307031921010894
2024-06-10 02:00:00,6.724525648140637,7.05285898147397
2024-06-10 03:00:00,6.518796935132778,6.870463601799443
2024-06-10 04:00:00,7.27075017944339,7.637416846110058
2024-06-10 05:00:00,7.982520772341682,8.42252077234168
2024-06-10 06:00:00,8.89898151350105,9.345648180167718
2024-06-10 07:00:00,9.232387206320396,9.749053872987066
2024-06-10 08:00:00,9.341786369581074,9.818453036247742
2024-06-10 09:00:00,9.600254247135808,10.166920913802475
2024-06-10 10:00:00,9.390742826636773,9.77074282663677
2024-06-10 11:00:00,9.80698020543026,10.370313538763599
2024-06-10 12:00:00,9.66570869732572,10.109042030659054
2024-06-10 13:00:00,9.669540138084606,10.117873471417939
2024-06-10 14:00:00,10.159855959121414,10.564855959121415
2024-06-10 15:00:00,10.310121046206472,10.703454379539806
2024-06-10 16:00:00,11.108314655200981,11.381647988534315
2024-06-10 17:00:00,11.996703726482902,11.770037059816234
2024-06-10 18:00:00,11.5724694267034,11.917469426703397
2024-06-10 19:00:00,11.530292533603763,11.650292533603766
2024-06-10 20:00:00,11.400156250710175,11.750156250710178
2024-06-10 21:00:00,11.2365750730431,11.56324173970977
2024-06-10 22:00:00,10.641083617299204,10.872750283965871
2024-06-10 23:00:00,10.562170277844297,10.830503611177631
2024-06-11 00:00:00,9.884810894497353,10.25981089449735
2024-06-11 01:00:00,8.755125222458583,9.108458555791914
2024-06-11 02:00:00,7.834353632005679,8.172686965339013
2024-06-11 03:00:00,6.665705823078655,6.372372489745321
2024-06-11 04:00:00,7.232589273460601,5.730922606793934
2024-06-11 05:00:00,7.268513357958687,5.428513357958688
2024-06-11 06:00:00,5.734447709948842,4.792781043282177
